country,unit,variable,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020,2021
LVA,%,Share of fossil primary energy consumed,77.88182062425285,79.4878699585752,82.31202820873584,83.24852363181097,79.7575870214136,79.08075248884683,82.08377530752273,82.5102290408543,80.39673851838054,77.19931903038356,79.00464925663441,80.0896209802764,74.7203302285449,77.15248700969258,80.14084328733425,80.43472058546803,77.76499151185742,69.04821600431173,76.55571755738619,79.14174601967119,73.85596297223529,74.1905726310198
MAR,%,Share of fossil primary energy consumed,98.03141565129835,97.52741005006051,97.6750082588164,96.34292950228249,96.52650288847788,97.91830787659194,97.98175032476583,97.94980843864079,98.10240279690387,95.28831201592787,94.11264518621768,96.35616332590186,96.88621654516056,94.8894220225186,95.5412637538136,94.61115635558406,94.40481540612868,94.71317371369939,92.8930663286496,92.45295336286972,92.36604786600513,92.36383048942166
MDG,%,Share of fossil primary energy consumed,,,,,,,,,,,,,,,,,,,,,,
MEX,%,Share of fossil primary energy consumed,91.42327927749379,92.13788217850791,92.91245113916216,93.6070849702317,93.26060218686041,92.95094940016902,92.88768848995002,93.34309603543906,91.97968407529437,93.62107966757716,92.94847046588075,92.8624863715526,93.46354843919897,93.50894847237072,92.10119848605927,92.55251739038444,92.6185926872558,92.3659309056252,91.49195933391772,91.6051872614726,88.94748988908748,87.8977083822733
MKD,%,Share of fossil primary energy consumed,88.78465682917745,93.66379758051512,92.20930337447044,87.53809197254365,86.47560494155617,86.87364743024997,85.81138434473161,91.30376655294516,92.51476293858113,88.58382124910584,80.07539663623177,88.28743086282732,90.86793601279906,85.55219845967939,87.47381500047705,81.42252143055332,81.85125328662541,88.18359212518632,82.20940581610716,88.4917266018777,85.55611031927133,85.17440625095696
MMR,%,Share of fossil primary energy consumed,,,,,,,,,,,,,,,,,,,,,,
MNG,%,Share of fossil primary energy consumed,,,,,,,,,,,,,,,,,,,,,,
MOZ,%,Share of fossil primary energy consumed,,,,,,,,,,,,,,,,,,,,,,
MYS,%,Share of fossil primary energy consumed,96.31869706129606,96.86001771347934,97.40624279946911,97.74678682187074,97.68027984254826,97.71379387257066,97.62597627170534,97.8216193223123,97.32254773305523,97.37162968515248,97.66907095659941,97.11123340956098,96.96410695927446,96.47932523604095,96.11922958124272,95.94825248041751,94.76623190822988,93.33782214616436,93.3276171250713,93.2149863067695,92.30780868851961,91.22134843184348
NGA,%,Share of fossil primary energy consumed,,,,,,,,,,,,,,,,,,,,,,
NLD,%,Share of fossil primary energy consumed,97.96959277185204,97.94051686899155,97.76577570825418,97.77466346975868,97.52614869877945,96.93440467172366,96.81548681540912,96.55352178446803,96.05959006662749,95.5148631117503,95.86131668743788,95.18767868503568,95.06384896962336,95.31834283210291,94.92466456031467,94.42450678642837,94.3079541822187,93.6293121242304,93.10407192997864,91.69354824567073,88.145408396108,86.63078564296943
NOR,%,Share of fossil primary energy consumed,27.602112329615576,32.41754030710278,30.690171533769746,36.183962420109125,35.76123312058691,30.2639693448867,33.26074088125351,30.701490804630676,29.942931504451874,32.00249012232492,34.2605962833785,33.42586647630681,29.61912464564658,32.20342843308476,30.846531328247483,30.839640653893746,29.51687843862433,29.742657292713776,30.38780640314412,31.900680343366695,28.242503634323217,27.63394307696115
NZL,%,Share of fossil primary energy consumed,63.62578331492972,67.26923511196726,64.87325113455829,65.6428502501046,62.20553147475296,65.31707451059091,65.18887680680604,64.58774197249825,65.58904763936508,62.08752164254465,61.16179071523305,60.44098191790685,63.054524680703935,63.067428397876,62.45079285574522,61.8583669271923,60.995666980474695,62.90700090133134,61.824642309013775,63.21967020135597,60.900098541757956,59.752805970199816
OMN,%,Share of fossil primary energy consumed,100.00001187712775,99.99999956077615,100.00000847584836,100.00000019482242,99.99999476605572,99.99999250316216,100.0,100.00000160194102,99.99999727635816,99.99999629554213,99.99999999999999,99.99999999999999,100.0,99.99897429458616,99.99897607314266,99.99703080236063,99.99665931932815,99.98853652386877,99.98908432234255,99.98241617495609,99.77599738665903,99.77082696638004
PAK,%,Share of fossil primary energy consumed,88.10110145583224,87.3973309752787,86.77848552671558,85.7195504194227,86.25185116185715,85.32382718438075,86.35140917100537,86.7664215261251,88.79951448626188,88.18989574301386,87.91138684678532,87.17931720731251,94.64358101342032,86.99447589754415,86.93900955164374,87.461822086905,87.38557495867312,88.12421993895576,88.16681803712882,86.6226497657536,85.5142895444996,85.66137155869828
PER,%,Share of fossil primary energy consumed,67.50403695801394,64.47353999054098,64.53329829755519,63.28123207228151,67.62905895996597,68.10642373235906,65.32622624442729,68.447274402647,71.42195414955782,70.74664021411823,73.79877616403091,74.68953383494686,74.53540530331934,74.33845585228144,74.62139863391175,74.50444579361742,75.94238783982009,72.25991652130072,71.77613632598042,72.05421490723579,67.82519652113457,70.9276608661567
PHL,%,Share of fossil primary energy consumed,81.40478473464063,83.05079971841576,83.30802675257597,83.57559278768437,83.14729047108803,83.67743096031039,81.3062525227081,83.45465120380425,82.48532339257477,82.61284902484275,85.09654364451437,83.84018258497152,83.51859337431821,85.124279695927,85.92503480072402,86.40042463052852,86.91023759629331,87.44754666007931,87.74841829778165,88.68720251440016,87.9405353502237,88.03258853998011
PNG,%,Share of fossil primary energy consumed,,,,,,,,,,,,,,,,,,,,,,
POL,%,Share of fossil primary energy consumed,99.31719765843727,99.17969497571536,99.18034071624335,99.32453224599003,99.10875751686977,98.86452299384982,98.75141873933472,98.43765525183883,97.79238849694961,96.9341785250292,96.546320046569,95.9574113126105,94.77149203497919,94.82943697901935,93.94403456804832,93.43848941370891,93.94950563470626,93.80900358454144,94.14920300906289,93.01071269005847,92.23025850616801,92.23831449107276
PRT,%,Share of fossil primary energy consumed,86.92666006819529,84.35312940762934,90.25104234794145,82.94299371616096,87.9104292637512,91.88438815832815,84.4274359333058,83.85632801004309,84.85321582618495,81.15063410013452,72.60679197762731,75.48871343538288,78.29845556906598,70.89426473266859,69.70746893491496,75.54062692783931,70.72357615958495,78.55819514436938,73.09989245458756,73.59818620343988,68.27609151792258,67.29604890629535
QAT,%,Share of fossil primary energy consumed,,,,,,99.9999998753584,,,,,,,99.91657805200423,99.92163790133249,99.92602695241922,99.93513724530044,99.93285569324162,99.93068241433308,99.93063365027666,99.93358229834615,99.92430363644934,99.92742960360111
ROU,%,Share of fossil primary energy consumed,85.92068176734702,86.07558974637773,85.88588138904967,88.18898325472851,86.2375761343507,84.04006169641268,85.53883249410877,85.22532560938015,82.33603583278423,80.57944783395014,77.77126415215218,80.82777437134479,81.36914279160533,76.33784726998498,73.72064942665827,73.13801639392078,72.72910054343858,74.94155973534055,74.31302320518563,74.68453710058341,73.23442546479623,74.13915268434206
RUS,%,Share of fossil primary energy consumed,88.12997096163167,87.75631785716233,88.07203046809529,88.30744201051472,87.92043949944124,87.92401326519114,88.24003672739022,88.11611630251008,88.5762709374678,87.68671106077176,88.25991759142873,88.74921151335535,88.68135697074669,88.16733483209667,88.25043275448867,87.81623280031428,87.55234920422718,87.4662829482708,87.75661165084354,87.44045531067633,86.12487385595273,86.92461672613257
SAU,%,Share of fossil primary energy consumed,100.0,99.99999998047028,100.0,100.0,100.0,100.00000001579173,100.0,100.0,99.99991833076048,99.99992253216298,99.9995323138426,99.99941692201014,99.99740152832885,99.99573963261437,99.99575153448299,99.99590617507249,99.99603660498664,99.99437500620249,99.98611776715897,99.98181924429811,99.98153610901284,99.92773100562258
SDN,%,Share of fossil primary energy consumed,,,,,,,,,,,,,,,,,,,,,,
SGP,%,Share of fossil primary energy consumed,99.82346167223064,99.6998707083058,99.69449253203628,99.66163303905071,99.70747241981694,99.72238118609779,99.74974820552677,99.75716260186609,99.75900894720004,99.77276075248659,99.764011754798,99.76549469183091,99.75371906459412,99.73141096409343,99.72148679889797,99.70762815060873,99.71086204662097,99.71918774930657,99.72157762375832,99.70045710014048,99.69006116044952,99.63945404437295
SRB,%,Share of fossil primary energy consumed,,,,,,,,,,,,,,,,,,,,,,
SSD,%,Share of fossil primary energy consumed,,,,,,,,,,,,,,,,,,,,,,
SVK,%,Share of fossil primary energy consumed,72.30274979443641,71.71328224253739,70.7733133567042,72.82925091845203,72.5282578833597,72.51731580958716,70.96804415118118,72.50989074623281,72.02751866647999,72.52390940943212,72.51658470348835,71.629672273651,69.87186107821208,69.21148152722216,67.03559104728976,68.02211639768908,68.46394038176088,69.88617687437437,70.88949698634968,68.14654282759534,67.01585015660953,69.13301688086906
