country,unit,variable,2014,2015,2016,2017,2018,2019,2020
LAO,MtCO2eq,Total GHG emissions (excluding LULUCF),17.991964598035,25.966380961665,35.658924031318996,37.612015610302,37.676965558042994,56.367307653312004,41.839004187
LBN,MtCO2eq,Total GHG emissions (excluding LULUCF),30.890144994259,33.138421541297,34.465647355480996,36.262411605939,34.960392989519995,35.278950419161994,26.76945794036
LBR,MtCO2eq,Total GHG emissions (excluding LULUCF),3.7347808935963,3.8696084775686996,4.1754859249517,4.198391928801999,4.3272498045993,4.413614209280899,1.261399268
LBY,MtCO2eq,Total GHG emissions (excluding LULUCF),80.5552597696315,72.5181471926837,69.6026025648364,82.2605164780225,82.53508193656769,85.3904350672957,52.605942321
LCA,MtCO2eq,Total GHG emissions (excluding LULUCF),0.6081183179279499,0.60110093683219,0.5930501692227199,0.5223281685518,0.5145285568188399,0.50671392224453,0.289103927243
LKA,MtCO2eq,Total GHG emissions (excluding LULUCF),36.494345744567,40.656861947027,42.480770557869,42.247720601697,42.797357525174,45.257370597446,23.733730719079002
LSO,MtCO2eq,Total GHG emissions (excluding LULUCF),2.7527701711168997,2.7323545303054,2.7445907800522,2.9484819347021003,2.9240080985012997,2.9935527342766997,0.6529229992
LTU,MtCO2eq,Total GHG emissions (excluding LULUCF),22.922782151417998,23.755381660911997,23.56251423611,23.769531538064996,23.504188739689,23.218623665451002,13.549123316849998
LUX,MtCO2eq,Total GHG emissions (excluding LULUCF),10.8481131661436,10.316513666177398,10.0550423921937,10.198636170558,10.4952046679945,10.604562011340198,7.9979365427
LVA,MtCO2eq,Total GHG emissions (excluding LULUCF),12.229685542908,12.484670624505,12.398523170913998,12.219648762615998,12.691690770415,13.097843895119,7.4458991211
MAR,MtCO2eq,Total GHG emissions (excluding LULUCF),94.0430196934,96.60696215489999,96.960270276292,101.425289373,103.03866767624,109.91093439991,67.75178333186999
MDA,MtCO2eq,Total GHG emissions (excluding LULUCF),11.4775483934,11.75176619885,12.00098600684,11.964725598069998,12.520534193144,12.164698913203999,8.486545000090901
MDG,MtCO2eq,Total GHG emissions (excluding LULUCF),32.061977532991996,32.305586840369,33.020340458676,32.501066207034995,33.953592966742,34.182909787263995,4.251570167000001
MDV,MtCO2eq,Total GHG emissions (excluding LULUCF),2.11724924625422,1.7013770179814198,1.7246830721019901,1.8036199775631199,1.85606419001468,1.91295502386286,1.66632765221
MEX,MtCO2eq,Total GHG emissions (excluding LULUCF),783.67724655219,791.45169015149,801.5131355921199,805.23139780892,809.30057602426,793.85165392435,407.695111764
MHL,MtCO2eq,Total GHG emissions (excluding LULUCF),0.002140591883,0.002145746362,0.00214992068,0.002153630572,0.002156462912,0.002162203622,
MKD,MtCO2eq,Total GHG emissions (excluding LULUCF),11.050252059434998,10.645824891059,10.200106940901,10.962152880147999,10.385813428838999,11.445054117405,7.699230869226999
MLI,MtCO2eq,Total GHG emissions (excluding LULUCF),31.863704870411,33.503262587874,35.595986961198,37.778157572910004,39.816805772605996,41.745594926596,3.482183708
MLT,MtCO2eq,Total GHG emissions (excluding LULUCF),2.8729145797462796,2.19260747637441,1.9073059226306799,2.0771977868159897,2.0992332574234798,2.13238335776189,1.5549746411899998
MMR,MtCO2eq,Total GHG emissions (excluding LULUCF),127.78136147929999,132.3063390116,138.45981254769998,150.25382028081,151.56435209044,156.72813638104,37.710979141719996
MNG,MtCO2eq,Total GHG emissions (excluding LULUCF),48.5602362946622,47.4261729182808,54.7465456168702,60.9758018386582,64.1572351556207,82.9854969848669,38.230675273791995
MOZ,MtCO2eq,Total GHG emissions (excluding LULUCF),24.97479378339,26.19936893096,29.94760227817,32.17465680095,34.56515178512,35.43353182182,9.936760456936
MRT,MtCO2eq,Total GHG emissions (excluding LULUCF),12.896188541629,13.282509955289001,13.669459862832,13.80012496279,13.982775056664,14.164875529203998,2.6660196325851997
MUS,MtCO2eq,Total GHG emissions (excluding LULUCF),5.7106200645700005,5.7537803947,5.86769757402,6.135096223889999,6.129133564677,5.962702265279899,3.6284328199
MWI,MtCO2eq,Total GHG emissions (excluding LULUCF),10.511438455679599,10.9989684883056,11.5738334819683,12.012791124577701,12.9987965374117,13.598000223210699,1.38494607625942
MYS,MtCO2eq,Total GHG emissions (excluding LULUCF),324.24272330459996,326.9649621304,322.997849939,313.6861113319,331.17472175989195,339.471132840373,262.171256595
NAM,MtCO2eq,Total GHG emissions (excluding LULUCF),11.622701055541999,11.81672541854,12.79502424382,12.52207437742,12.304335696323,12.361339699762999,4.0129964346
NER,MtCO2eq,Total GHG emissions (excluding LULUCF),30.120767832341,31.163463834611,32.562058422960995,34.11564198296,35.837078141655,37.270130112575,2.1622325172899997
NGA,MtCO2eq,Total GHG emissions (excluding LULUCF),403.12727181515,396.64604398964997,390.80342889204996,400.32873904674994,418.38574965047,416.90642102645,126.9200910832
NIC,MtCO2eq,Total GHG emissions (excluding LULUCF),18.352869959429,19.548858501008,19.644441583790996,19.747281884596998,19.602207280351998,20.221729979847996,5.096265726781
NIU,MtCO2eq,Total GHG emissions (excluding LULUCF),0.001389188148061,0.001400392795302,0.001407042583503,0.001415493171696,0.001423286964439,0.001432432989566,
NLD,MtCO2eq,Total GHG emissions (excluding LULUCF),214.661667638291,218.417073961298,218.194054549237,223.219559723082,222.81951833731898,216.14097792417502,144.69486414552
NOR,MtCO2eq,Total GHG emissions (excluding LULUCF),73.33939790632499,74.41787436557999,73.96163080152499,73.48894227807399,74.451881360631,72.121369094118,42.1816908445
NPL,MtCO2eq,Total GHG emissions (excluding LULUCF),44.795223211359996,44.698116643809996,47.894153957890005,51.45178443213,53.101913183321756,57.00384278754575,17.892008545099998
NRU,MtCO2eq,Total GHG emissions (excluding LULUCF),0.0033119410164,0.0033781991288999997,0.0034469666766999995,0.0034742485777999998,0.0034550269209999997,0.00351445852641,
NZL,MtCO2eq,Total GHG emissions (excluding LULUCF),88.35529005663,86.95240484293,86.88745015305,88.00401991583999,86.93150644886,88.17324160141997,33.034402172149996
OMN,MtCO2eq,Total GHG emissions (excluding LULUCF),111.33969395296549,117.26749912244999,119.80701598195019,122.1812206946184,125.6495258343168,127.86230019356069,87.05023379299999
PAK,MtCO2eq,Total GHG emissions (excluding LULUCF),438.05221977709994,448.40286954034997,476.8446030612499,503.8004465737,519.61451174301,524.85258680827,217.02460545719998
PAN,MtCO2eq,Total GHG emissions (excluding LULUCF),17.82113950747,17.232022677490004,17.456111687679996,16.8102488906,16.351997599944,17.294129039563998,9.301177249
PER,MtCO2eq,Total GHG emissions (excluding LULUCF),91.10382189026998,92.70761494013999,95.92798266553,93.35322906538,93.9686087362,95.5764288745,44.4794551387
PHL,MtCO2eq,Total GHG emissions (excluding LULUCF),199.64866640244998,208.3797291803,220.91279413759997,236.83748325949998,243.5522012349,251.531658962941,139.15833662019998
PLW,MtCO2eq,Total GHG emissions (excluding LULUCF),1.3181968511864,1.2488948909748,1.1958794851273,1.2500494388258998,1.2822789864364001,1.3147595887438899,1.2408001080864002
PNG,MtCO2eq,Total GHG emissions (excluding LULUCF),11.391659571289,14.136081441523,15.895814624011,15.583878568429,17.167329741673,17.881894064214997,7.256662443
POL,MtCO2eq,Total GHG emissions (excluding LULUCF),410.48476373222996,412.44479211734995,420.81101198475,434.7091574120099,431.77808874479007,413.9737939155,292.5624250309
PRK,MtCO2eq,Total GHG emissions (excluding LULUCF),61.60489674493999,55.99501457880999,61.20668328532,51.310167265105,46.985578440241994,61.516684289189996,32.24457745357
PRT,MtCO2eq,Total GHG emissions (excluding LULUCF),65.04037829047999,68.74143219835999,67.85239655095,73.67429750982,70.47415582834199,65.379359504867,40.432854221990006
PRY,MtCO2eq,Total GHG emissions (excluding LULUCF),42.922522067167996,42.530016211618,43.168648165258,44.378058190779,44.448360732028,44.264548678267,7.8364556136
QAT,MtCO2eq,Total GHG emissions (excluding LULUCF),180.28820158960147,184.10782643456548,187.5565855766673,188.34037369769135,192.62789631586398,198.6081358573713,99.4871727327
ROU,MtCO2eq,Total GHG emissions (excluding LULUCF),115.91961275309,116.63585079719999,115.60542403699,119.72606118310999,120.37909418698,119.43958484139999,75.7973628263869
RUS,MtCO2eq,Total GHG emissions (excluding LULUCF),2271.6966648339994,2284.645997381,2265.4001131249997,2312.983595757,2372.248814767,2365.2287130560003,1674.22801632
RWA,MtCO2eq,Total GHG emissions (excluding LULUCF),5.9982139207004,6.612636748606801,6.617343425233599,6.7342954825665995,6.9016041437349,7.0788690245003,1.0136465644
SAU,MtCO2eq,Total GHG emissions (excluding LULUCF),740.18070744648,773.2182850754799,778.57889816538,787.6615962382799,772.07462768974,773.34637352086,588.814373694
SDN,MtCO2eq,Total GHG emissions (excluding LULUCF),127.40021322452999,130.63445772349,134.59471488776998,134.04599090445,135.52440156825,137.24656405472,19.951131053399997
SEN,MtCO2eq,Total GHG emissions (excluding LULUCF),22.26607688105,23.82385412668,24.834311976989998,25.33084746646,25.954714997007,26.086196408537,10.061347299781
SGP,MtCO2eq,Total GHG emissions (excluding LULUCF),65.64353429514416,67.55433413990887,66.78589439704288,71.1564906965161,71.68446985582112,71.47504485090279,56.1076367766
SLB,MtCO2eq,Total GHG emissions (excluding LULUCF),0.4277881590266999,0.4434705192515,0.41475257630179996,0.5249712299042001,0.539351630017,0.5538420719735999,0.3058879353
SLE,MtCO2eq,Total GHG emissions (excluding LULUCF),6.797743785411799,6.3768424977883,6.7839388488827,6.9043641851599995,7.042884100085399,7.2735635000885,1.0076556129
SLV,MtCO2eq,Total GHG emissions (excluding LULUCF),12.112928277319998,12.59763941923,12.52612235851,11.973343501339999,12.2878464203,12.793640565443999,6.7912477365
SOM,MtCO2eq,Total GHG emissions (excluding LULUCF),29.3241674773187,29.6111022526254,29.862460269545597,30.1406997696791,30.4506779331692,30.607529317356196,0.7742146007
STP,MtCO2eq,Total GHG emissions (excluding LULUCF),0.21037429339289002,0.2208664151895,0.23035709971775997,0.24190917171307,0.25117063766988,0.24628131438508,0.1347911735803
